time,ƒ¦2[“x]
0,0
0.01,0.991093957
0.02,2.222666677
0.03,3.737249712
0.04,5.583856352
0.05,7.81887553
0.06,10.50707918
0.07,13.72275631
0.08,17.55098842
0.09,22.08908256
0.1,27.44817977
0.11,33.75505869
0.12,41.1541561
0.13,49.80982797
0.14,59.90887745
0.15,71.66337826
0.16,85.31382491
0.17,101.132644
0.18,119.4281036
0.19,140.5486623
0.2,164.8878005
0.21,192.8893832
0.22,225.0536053
0.23,261.9435751
0.24,290.0708133
0.25,318.1980515
0.26,328.0358823
0.27,337.5499813
0.28,346.7309592
0.29,355.5697556
0.3,364.0576475
0.31,372.1862584
0.32,379.9475665
0.33,387.3339122
0.34,394.338006
0.35,400.9529359
0.36,407.1721736
0.37,412.9895816
0.38,418.3994186
0.39,423.396346
0.4,427.9754323
0.41,432.1321586
0.42,435.8624225
0.43,439.1625429
0.44,442.0292628
0.45,444.4597533
0.46,446.4516156
0.47,448.0028841
0.48,449.1120278
0.49,449.7779522
0.5,450
0.51,449.7779522
0.52,449.1120278
0.53,448.0028841
0.54,446.4516156
0.55,444.4597533
0.56,442.0292628
0.57,439.1625429
0.58,435.8624225
0.59,432.1321586
0.6,427.9754323
0.61,423.396346
0.62,418.3994186
0.63,412.9895816
0.64,407.1721736
0.65,400.9529359
0.66,394.338006
0.67,387.3339122
0.68,379.9475665
0.69,372.1862584
0.7,364.0576475
0.71,355.5697556
0.72,346.7309592
0.73,337.5499813
0.74,328.0358823
0.75,318.1980515
0.76,308.0461977
0.77,297.5903394
0.78,271.718204
0.79,245.8460686
0.8,210.1568103
0.81,179.1354998
0.82,152.2164116
0.83,128.8980374
0.84,108.7362514
0.85,91.33815204
0.86,76.35651974
0.87,63.48483355
0.88,52.45279609
0.89,43.02231848
0.9,34.98392174
0.91,28.15351482
0.92,22.36951269
0.93,17.49026117
0.94,13.39173814
0.95,9.965503431
0.96,7.116872423
0.97,4.76329041
0.98,2.832887198
0.99,1.263193179
1,0
